	faith_pd
54	3.2673829344999996
55	6.4754760035
56	5.8322751575
57	4.434209815000001
82	19.598848453000002
83	50.33781080200001
84	61.730876243000004
85	26.183785774
86	11.072596431000001
87	30.573653558
88	15.573633835
89	3.872922249
90	30.459654908999998
91	20.852157011
95	19.915841772
96	31.158973175
